,District_Key,District
289,AS_Jorhat,jorhat
290,GJ_Junagadh,junagadh
291,CT_Kabeerdham,kabeerdham
292,BR_Kaimur,kaimur
293,HR_Kaithal,kaithal
294,MN_Kakching,kakching
295,KA_Kalaburagi,kalaburagi
296,OR_Kalahandi,kalahandi
297,WB_Kalimpong,kalimpong
298,TN_Kallakurichi,kallakurichi
299,TG_Kamareddy,kamareddy
300,MN_Kamjong,kamjong
301,AR_Kamle,kamle
302,AS_Kamrup,kamrup
303,AS_Kamrup Metropolitan,kamrup metropolitan
304,TN_Kancheepuram,kancheepuram
305,OR_Kandhamal,kandhamal
306,MN_Kangpokpi,kangpokpi
307,HP_Kangra,kangra
308,UP_Kannauj,kannauj
309,KL_Kannur,kannur
310,UP_Kanpur Dehat,kanpur dehat
311,UP_Kanpur Nagar,kanpur nagar
312,TN_Kanyakumari,kanyakumari
313,PB_Kapurthala,kapurthala
314,PY_Karaikal,karaikal
315,RJ_Karauli,karauli
316,AS_Karbi Anglong,karbi anglong
317,LA_Kargil,kargil
318,AS_Karimganj,karimganj
319,TG_Karimnagar,karimnagar
320,HR_Karnal,karnal
321,TN_Karur,karur
322,KL_Kasaragod,kasaragod
323,UP_Kasganj,kasganj
324,JK_Kathua,kathua
325,BR_Katihar,katihar
326,MP_Katni,katni
327,UP_Kaushambi,kaushambi
328,OR_Kendrapara,kendrapara
329,OR_Kendujhar,kendujhar
330,BR_Khagaria,khagaria
331,TG_Khammam,khammam
332,MP_Khandwa,khandwa
333,MP_Khargone,khargone
334,GJ_Kheda,kheda
335,OR_Khordha,khordha
336,TR_Khowai,khowai
337,JH_Khunti,khunti
338,HP_Kinnaur,kinnaur
339,NL_Kiphire,kiphire
340,BR_Kishanganj,kishanganj
341,JK_Kishtwar,kishtwar
342,KA_Kodagu,kodagu
343,JH_Koderma,koderma
344,NL_Kohima,kohima
345,AS_Kokrajhar,kokrajhar
346,KA_Kolar,kolar
347,MZ_Kolasib,kolasib
348,MH_Kolhapur,kolhapur
349,WB_Kolkata,kolkata
350,KL_Kollam,kollam
351,TG_Komaram Bheem,komaram bheem
352,CT_Kondagaon,kondagaon
353,KA_Koppal,koppal
354,OR_Koraput,koraput
355,CT_Korba,korba
356,CT_Koriya,koriya
357,RJ_Kota,kota
358,KL_Kottayam,kottayam
359,KL_Kozhikode,kozhikode
360,AR_Kra Daadi,kra daadi
361,AP_Krishna,krishna
362,TN_Krishnagiri,krishnagiri
363,JK_Kulgam,kulgam
364,HP_Kullu,kullu
365,JK_Kupwara,kupwara
366,AP_Kurnool,kurnool
367,HR_Kurukshetra,kurukshetra
368,AR_Kurung Kumey,kurung kumey
369,UP_Kushinagar,kushinagar
370,GJ_Kutch,kutch
371,HP_Lahul and Spiti,lahul and spiti
372,AS_Lakhimpur,lakhimpur
373,UP_Lakhimpur Kheri,lakhimpur kheri
374,BR_Lakhisarai,lakhisarai
375,LD_Lakshadweep,lakshadweep
376,UP_Lalitpur,lalitpur
377,JH_Latehar,latehar
378,MH_Latur,latur
379,MZ_Lawngtlai,lawngtlai
380,LA_Leh,leh
381,AR_Lepa Rada,lepa rada
382,JH_Lohardaga,lohardaga
383,AR_Lohit,lohit
384,AR_Longding,longding
385,NL_Longleng,longleng
386,AR_Lower Dibang Valley,lower dibang valley
387,AR_Lower Siang,lower siang
388,AR_Lower Subansiri,lower subansiri
389,UP_Lucknow,lucknow
390,PB_Ludhiana,ludhiana
391,MZ_Lunglei,lunglei
392,BR_Madhepura,madhepura
393,BR_Madhubani,madhubani
394,TN_Madurai,madurai
395,TG_Mahabubabad,mahabubabad
396,TG_Mahabubnagar,mahabubnagar
397,UP_Maharajganj,maharajganj
398,CT_Mahasamund,mahasamund
399,PY_Mahe,mahe
400,HR_Mahendragarh,mahendragarh
401,GJ_Mahisagar,mahisagar
402,UP_Mahoba,mahoba
403,UP_Mainpuri,mainpuri
404,AS_Majuli,majuli
405,KL_Malappuram,malappuram
406,WB_Malda,malda
407,OR_Malkangiri,malkangiri
408,MZ_Mamit,mamit
409,TG_Mancherial,mancherial
410,HP_Mandi,mandi
411,MP_Mandla,mandla
412,MP_Mandsaur,mandsaur
413,KA_Mandya,mandya
414,PB_Mansa,mansa
415,UP_Mathura,mathura
416,UP_Mau,mau
417,OR_Mayurbhanj,mayurbhanj
418,TG_Medak,medak
419,TG_Medchal Malkajgiri,medchal malkajgiri
420,UP_Meerut,meerut
421,GJ_Mehsana,mehsana
422,UP_Mirzapur,mirzapur
423,PB_Moga,moga
424,NL_Mokokchung,mokokchung
425,NL_Mon,mon
426,UP_Moradabad,moradabad
427,GJ_Morbi,morbi
428,MP_Morena,morena
429,AS_Morigaon,morigaon
430,TG_Mulugu,mulugu
431,MH_Mumbai,mumbai
432,CT_Mungeli,mungeli
433,BR_Munger,munger
434,WB_Murshidabad,murshidabad
435,UP_Muzaffarnagar,muzaffarnagar
436,BR_Muzaffarpur,muzaffarpur
437,KA_Mysuru,mysuru
438,OR_Nabarangapur,nabarangapur
439,WB_Nadia,nadia
440,AS_Nagaon,nagaon
441,TN_Nagapattinam,nagapattinam
442,TG_Nagarkurnool,nagarkurnool
443,RJ_Nagaur,nagaur
444,MH_Nagpur,nagpur
445,UT_Nainital,nainital
446,BR_Nalanda,nalanda
447,AS_Nalbari,nalbari
448,TG_Nalgonda,nalgonda
449,TN_Namakkal,namakkal
450,AR_Namsai,namsai
451,MH_Nanded,nanded
452,MH_Nandurbar,nandurbar
453,TG_Narayanpet,narayanpet
454,CT_Narayanpur,narayanpur
455,GJ_Narmada,narmada
456,MP_Narsinghpur,narsinghpur
457,MH_Nashik,nashik
458,GJ_Navsari,navsari
459,BR_Nawada,nawada
460,OR_Nayagarh,nayagarh
461,MP_Neemuch,neemuch
462,DL_New Delhi,new delhi
463,AN_Nicobars,nicobars
464,TN_Nilgiris,nilgiris
465,TG_Nirmal,nirmal
466,TG_Nizamabad,nizamabad
467,MN_Noney,noney
468,WB_North 24 Parganas,north 24 parganas
469,AN_North and Middle Andaman,north and middle andaman
470,DL_North Delhi,north delhi
471,DL_North East Delhi,north east delhi
472,ML_North Garo Hills,north garo hills
473,GA_North Goa,north goa
474,SK_North Sikkim,north sikkim
475,TR_North Tripura,north tripura
476,DL_North West Delhi,north west delhi
477,OR_Nuapada,nuapada
478,HR_Nuh,nuh
479,MH_Osmanabad,osmanabad
480,AR_Pakke Kessang,pakke kessang
481,JH_Pakur,pakur
482,KL_Palakkad,palakkad
483,JH_Palamu,palamu
484,MH_Palghar,palghar
485,RJ_Pali,pali
486,HR_Palwal,palwal
487,HR_Panchkula,panchkula
488,GJ_Panchmahal,panchmahal
489,HR_Panipat,panipat
490,MP_Panna,panna
491,AR_Papum Pare,papum pare
492,MH_Parbhani,parbhani
493,WB_Paschim Bardhaman,paschim bardhaman
494,WB_Paschim Medinipur,paschim medinipur
495,GJ_Patan,patan
496,KL_Pathanamthitta,pathanamthitta
497,PB_Pathankot,pathankot
498,PB_Patiala,patiala
499,BR_Patna,patna
500,UT_Pauri Garhwal,pauri garhwal
501,TG_Peddapalli,peddapalli
502,TN_Perambalur,perambalur
503,NL_Peren,peren
504,NL_Phek,phek
505,MN_Pherzawl,pherzawl
506,UP_Pilibhit,pilibhit
507,UT_Pithoragarh,pithoragarh
508,GJ_Porbandar,porbandar
509,AP_Prakasam,prakasam
510,UP_Pratapgarh,pratapgarh
511,UP_Prayagraj,prayagraj
512,PY_Puducherry,puducherry
513,TN_Pudukkottai,pudukkottai
514,JK_Pulwama,pulwama
515,JK_Punch,punch
