,test,test
374,lalitpur 1947336,LD_Lakshadweep
375,latehar 2244762,UP_Lalitpur
376,latur 1948713,JH_Latehar
377,lawngtlai 2086209,MH_Latur
378,leh  1921210,MZ_Lawngtlai
379,lepa rada 63563632,LA_Leh
380,lohardaga 1948301,AR_Lepa Rada
381,lohit 15438,JH_Lohardaga
382,longding 5627568,AR_Lohit
383,longleng 1426783,AR_Longding
384,lower dibang valley 2373368,NL_Longleng
385,lower siang 13602925,AR_Lower Dibang Valley
386,lower subansiri 15436,AR_Lower Siang
387,lucknow 1773416,AR_Lower Subansiri
388,ludhiana 172482,UP_Lucknow
389,lunglei 1947352,PB_Ludhiana
390,madhepura 77746,MZ_Lunglei
391,madhubani 77474,BR_Madhepura
392,madurai  15184,BR_Madhubani
393,mahabubabad 28169761,TN_Madurai
394,mahabubnagar 15380,TG_Mahabubabad
395,mahasamund 2450240,TG_Mahabubnagar
396,mahe  639279,UP_Maharajganj
397,mahendragarh 684019,CT_Mahasamund
398,mahesana  2019694,PY_Mahe
399,mahisagar  5706885,HR_Mahendragarh
400,mahoba 1815322,GJ_Mahisagar
401,mahrajganj 1356139,UP_Mahoba
402,mainpuri 1816657,UP_Mainpuri
403,majuli 28110729,AS_Majuli
404,malappuram 1030918,KL_Malappuram
405,maldah 2049820,WB_Malda
406,malkangiri 5122619,OR_Malkangiri
407,mamit 751531,MZ_Mamit
408,mancherial  28169747,TG_Mancherial
409,mandi 1892161,HP_Mandi
410,mandla 2341670,MP_Mandla
411,mandsaur 1870014,MP_Mandsaur
412,mandya  2768290,KA_Mandya
413,mansa 172387,PB_Mansa
414,marigaon 42737,UP_Mathura
415,mathura 1773422,UP_Mau
416,mau 1518847,OR_Mayurbhanj
417,mayurbhanj 1914546,TG_Medak
418,medak 15386,TG_Medchal Malkajgiri
419,medchal–malkajgiri 27614841,UP_Meerut
420,meerut 1764627,GJ_Mehsana
421,mirzapur 1143894,UP_Mirzapur
422,moga 1946896,PB_Moga
423,mokokchung 2175311,NL_Mokokchung
424,mon 2339648,NL_Mon
425,moradabad 1345006,UP_Moradabad
426,morbi  5979727,GJ_Morbi
427,morena 2341467,MP_Morena
428,muktsar 1947359,AS_Morigaon
429,mulugu 61746006,TG_Mulugu
430,mumbai city 2341660,MH_Mumbai
431,mumbai suburban 2085374,CT_Mungeli
432,mungeli 13476249,BR_Munger
433,munger 77452,WB_Murshidabad
