0,1
kl_kottayam,pattanamtitta 
kl_kottayam,idukki 
kl_kottayam,alappuzha 
kl_kottayam,ernakulam 
tn_tiruchirappalli,ernakulam 
tn_tiruchirappalli,malappuram 
tn_tiruchirappalli,palghat 
tn_tiruchirappalli,coimbatore  
tn_namakkal,salem  
tn_namakkal,tiruchchirappalli  
tn_namakkal,erode  
tn_namakkal,karur  
or_sambalpur,erode  
or_sambalpur,kallakurichi 
or_sambalpur,perambalur  
or_sambalpur,tiruchchirappalli  
or_sambalpur,chamarajanagar  
or_sambalpur,namakkal  
or_sambalpur,dharmapuri  
jh_dhanbad,krishnagiri 
jh_dhanbad,erode  
jh_dhanbad,kallakurichi 
jh_dhanbad,chamarajanagar  
jh_dhanbad,tiruvanamalai  
jh_dhanbad,salem  
nl_peren,kallakurichi 
nl_peren,ariyalur  
nl_peren,tiruchchirappalli  
nl_peren,salem  
nl_peren,cuddalore  
or_kalahandi,perambalur  
or_kalahandi,tiruvanamalai  
or_kalahandi,viluppuram  
or_kalahandi,salem  
or_kalahandi,cuddalore  
or_kalahandi,dharmapuri  
gj_aravalli,tiruchchirappalli  
gj_aravalli,cuddalore  
gj_aravalli,thanjavur  
gj_aravalli,perambalur  
ka_tumakuru,krishnagiri 
ka_tumakuru,kallakurichi 
ka_tumakuru,kanchipuram  
ka_tumakuru,vellore  
ka_tumakuru,viluppuram  
ka_tumakuru,dharmapuri  
tn_krishnagiri,bangalore urban 
tn_krishnagiri,kolar  
tn_krishnagiri,ramanagara  
tn_krishnagiri,bangalore rural 
tn_krishnagiri,chamarajanagar  
tn_krishnagiri,tiruvanamalai  
tn_krishnagiri,vellore  
tn_krishnagiri,chittoor 
tn_krishnagiri,dharmapuri  
wb_cooch behar,puducherry  
wb_cooch behar,kallakurichi 
wb_cooch behar,perambalur  
wb_cooch behar,ariyalur  
wb_cooch behar,thanjavur  
wb_cooch behar,viluppuram  
wb_cooch behar,nagapattinam  
tn_nagapattinam,thiruvarur  
tn_nagapattinam,cuddalore  
tn_nagapattinam,thanjavur  
tn_nagapattinam,karaikal 
ap_visakhapatnam,puducherry  
ap_visakhapatnam,kallakurichi 
ap_visakhapatnam,kanchipuram  
ap_visakhapatnam,tiruvanamalai  
ap_visakhapatnam,cuddalore  
